source_image,row_index,Sheet,Series Title,World Index Number,Card Nos.,No of Cards
IMG_5547.HEIC,1,6401,Actresses & Foreign Views,0/2-32,Nos.1/50 51/100,50 50
IMG_5547.HEIC,2,6402,,11,"""101/150",50
IMG_5547.HEIC,3,6403,,,"""151/200",50
IMG_5547.HEIC,4,6404 6405,General Interest - A Series,0/2-34-1,Nos. 1/50,50 50
IMG_5547.HEIC,5,6406,,,51/100,
IMG_5547.HEIC,6,6407,,,101/150 (2xNo.134),51
IMG_5547.HEIC,7,6408,General Interest- B Series,0/2-34-2,"Nos.1/44, (3xNos.36/38)",50
IMG_5547.HEIC,8,6409,,,45/94,50 50
IMG_5547.HEIC,9,6410,,,"""95/144",
IMG_5547.HEIC,10,6411,,,"""145/190(2x163 166,173/4)",50
IMG_5547.HEIC,11,6412,Note: Nos. 191/200 of B Series are on Sheet 6419 General Interest - C Series,0/2-34-3(i),"Nos. 1/47,（2x7,9,45)",50
IMG_5547.HEIC,12,6413,91,,48/97,50 50
IMG_5547.HEIC,13,6414 6415,1,,98/146（2x139) 147/194(2×190/191),50
IMG_5547.HEIC,14,6416,,,"""195/200",6]
IMG_5547.HEIC,15,,General Interest - C Series,0/2-34-3(ii),Nos.201/240,40j
IMG_5547.HEIC,16,6417,,,241/290,50
IMG_5547.HEIC,17,6418,General Interest - C Series,0/2-34-3(ii),291/300,10]
IMG_5547.HEIC,18,,General Interest - C Series,0/2-34-3(1ii),Nos.301/339(2x326),40]
IMG_5547.HEIC,19,6419,,,340/350,11)
IMG_5547.HEIC,20,,General Interest - B Series,0/2-34-2,Nos.191/200,10)
IMG_5547.HEIC,21,,I Interest General,0/2-34-3(iv),Nos.1/30,30)
IMG_5547.HEIC,22,6420,,,31/80,50
IMG_5547.HEIC,23,6421,1,,81/120,40
IMG_5547.HEIC,24,6422,General Interest - D Series,0/2-34-4,Nos.1/48 (3xNo.44)50,
IMG_5547.HEIC,25,6423,,11,49/98,50
IMG_5547.HEIC,26,6424,,,99/148,50
IMG_5547.HEIC,27,6425 6426,Ⅱ,H,149/198 199/200,50 2]
IMG_5547.HEIC,28,,General Interest - E Series,0/2-34-5,Nos.1/34 & varieties 40j,
IMG_5547.HEIC,29,6427,,,Nos.35/82,50
IMG_5547.HEIC,30,6428,,,83/120,38
IMG_5547.HEIC,31,6429,General Interest -F Series,0/2-34-6(i),Nos. 1/50,50
IMG_5547.HEIC,32,6430,,,51/100,50
IMG_5547.HEIC,33,6431,,,101/150,50
IMG_5547.HEIC,34,6432,,,151/200,50
IMG_5547.HEIC,35,6433,,0/2-34-6(ii) H,Nos.201/250,50
IMG_5547.HEIC,36,6434,,,251/300,50
IMG_5547.HEIC,37,6435,,,"""301/320",20】
IMG_5547.HEIC,38,,,0/2-34-6（iii),Nos.F321/F350,30]
IMG_5547.HEIC,39,6436,,,F351/F400,50
IMG_5547.HEIC,40,6437,,,F401/420,20]
IMG_5547.HEIC,41,,General Interest,0/2-35-1,Stage Artistes,
IMG_5547.HEIC,42,6438,1,11,"Nos. 1/30 31/75,)",30]
IMG_5547.HEIC,43,,,,Celebrities 1/5),50
IMG_5547.HEIC,44,6439,General Interest,0/2-35-1,"Celebrities 6/42,}",
IMG_5547.HEIC,45,,,,Football 1/13,50
IMG_5547.HEIC,46,6440,General Interest,0/2-35-1,Football,"14/56,)"
IMG_5547.HEIC,47,,,,Miscellaneous 1/7,50
IMG_5547.HEIC,48,6441,,1,8/23,16]
IMG_5547.HEIC,49,,General Interest,,"0/2-36-1 Actresses 1/28,Castles 1/2 30j",
